DOMAIN                                                                                              IP ADDRESS
gitlab.it.tuwien.ac.at                                                                              109.70.102.196
minio.it.tuwien.ac.at                                                                               109.70.102.196
registry.it.tuwien.ac.at                                                                            109.70.102.196
ak-pi.it.tuwien.ac.at                                                                               128.130.12.168
b3-desk.it.tuwien.ac.at                                                                             128.130.12.58
es-m.it.tuwien.ac.at                                                                                128.130.13.33
samlt1.it.tuwien.ac.at                                                                              128.130.16.12
samlt2.app.it.tuwien.ac.at                                                                          128.130.16.14
dealer2.it.tuwien.ac.at                                                                             128.130.2.51
radius.it.tuwien.ac.at                                                                              128.130.2.73
tucks.it.tuwien.ac.at                                                                               128.130.32.50
tucksa.it.tuwien.ac.at                                                                              128.130.32.51
tucksb.it.tuwien.ac.at                                                                              128.130.32.52
tucreada.it.tuwien.ac.at                                                                            128.130.32.53
tucreadb.it.tuwien.ac.at                                                                            128.130.32.54
tucread.it.tuwien.ac.at                                                                             128.130.32.58
svn.it.tuwien.ac.at                                                                                 128.130.33.103
autoconfig.it.tuwien.ac.at                                                                          128.130.33.104
autodiscover.it.tuwien.ac.at                                                                        128.130.33.104
autoconf.it.tuwien.ac.at                                                                            128.130.33.108
service.it.tuwien.ac.at                                                                             128.130.33.111
arch.it.tuwien.ac.at                                                                                128.130.33.20
infoscreen.it.tuwien.ac.at                                                                          128.130.33.25
plesk-test.it.tuwien.ac.at                                                                          128.130.33.28
support-q.it.tuwien.ac.at                                                                           128.130.33.70
support-t.it.tuwien.ac.at                                                                           128.130.33.74
tube1.it.tuwien.ac.at                                                                               128.130.33.85
oase.it.tuwien.ac.at                                                                                128.130.34.142
axes.it.tuwien.ac.at                                                                                128.130.34.184
selma.it.tuwien.ac.at                                                                               128.130.34.195
psrest.it.tuwien.ac.at                                                                              128.130.34.220
o365backup-test.it.tuwien.ac.at                                                                     128.130.34.222
oase4.it.tuwien.ac.at                                                                               128.130.34.233
oc-lb-1.it.tuwien.ac.at                                                                             128.130.35.205
oc-lb-2.it.tuwien.ac.at                                                                             128.130.35.206
ocisdev.it.tuwien.ac.at                                                                             128.130.35.207
owncloud.it.tuwien.ac.at                                                                            128.130.35.207
tudocs.it.tuwien.ac.at                                                                              128.130.35.207
tudocsdev.it.tuwien.ac.at                                                                           128.130.35.207
invenio-prod.it.tuwien.ac.at                                                                        128.130.35.218
survey.it.tuwien.ac.at                                                                              128.130.35.222
search1.it.tuwien.ac.at                                                                             128.130.35.73
search2.it.tuwien.ac.at                                                                             128.130.35.74
it.tuwien.ac.at                                                                                     128.130.35.76
www.it.tuwien.ac.at                                                                                 128.130.35.76
search.it.tuwien.ac.at                                                                              128.130.35.76
webstats.it.tuwien.ac.at                                                                            128.130.35.76
webstats-dev.it.tuwien.ac.at                                                                        128.130.35.76
wikidev.it.tuwien.ac.at                                                                             128.130.35.93
raws.it.tuwien.ac.at                                                                                128.130.36.26
kms.it.tuwien.ac.at                                                                                 128.131.12.100
wsus.it.tuwien.ac.at                                                                                128.131.12.103
passt-test.it.tuwien.ac.at                                                                          128.131.12.125
shiny-analytics.it.tuwien.ac.at                                                                     128.131.12.126
chat-dev.it.tuwien.ac.at                                                                            128.131.12.69
chat-q.it.tuwien.ac.at                                                                              128.131.12.70
tuckboot.it.tuwien.ac.at                                                                            128.131.12.79
kms-sss.it.tuwien.ac.at                                                                             128.131.12.99
rtest.it.tuwien.ac.at                                                                               128.131.13.10
analytics.it.tuwien.ac.at                                                                           128.131.13.13
jira.it.tuwien.ac.at                                                                                128.131.13.26
jira-test.it.tuwien.ac.at                                                                           128.131.13.27
edm-portal.it.tuwien.ac.at                                                                          128.131.14.18
matrix-q.it.tuwien.ac.at                                                                            128.131.14.24
wiki-ro.it.tuwien.ac.at                                                                             128.131.19.77
depotm42.it.tuwien.ac.at                                                                            128.131.20.166
damap.it.tuwien.ac.at                                                                               128.131.20.173
test-damap.it.tuwien.ac.at                                                                          128.131.20.173
wallbuilder.it.tuwien.ac.at                                                                         128.131.34.109
nessus.it.tuwien.ac.at                                                                              128.131.34.110
netiq.idm.it.tuwien.ac.at                                                                           128.131.8.10
idp.it.tuwien.ac.at                                                                                 128.131.8.16
qlogin.it.tuwien.ac.at                                                                              128.131.8.46
gitlab-test.it.tuwien.ac.at                                                                         217.175.195.143
minio-test.it.tuwien.ac.at                                                                          217.175.195.143
registry-test.it.tuwien.ac.at                                                                       217.175.195.143
git.tuwien.ac.at                                                                                    217.175.195.167
acisurvey.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
airflow.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
www.ak-pi.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
alfent2.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
analytical-db.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
www.analytical-db.it.tuwien.ac.at                                                                   No IP, maybe it is down or unreachable
www.analytics.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
analytics-test.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
app.it.tuwien.ac.at                                                                                 No IP, maybe it is down or unreachable
samlt1a.app.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
www.samlt2.app.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
spt1.app.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
www.autoconf.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.axes.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
