FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
"# or send a letter to Creative Commons, 171 Second Street,","https://www.sivola.it/# or send a letter to Creative Commons, 171 Second Street,",,8,200,174955,95478,2490,
#,https://www.sivola.it/#,,2,200,174955,95478,2490,
"# Priority-ordered case-sensitive list, where entries were found","https://www.sivola.it/# Priority-ordered case-sensitive list, where entries were found",,11,200,174955,95478,2490,
"# Suite 300, San Francisco, California, 94105, USA.","https://www.sivola.it/# Suite 300, San Francisco, California, 94105, USA.",,9,200,174955,95478,2490,
# directory-list-2.3-small.txt,https://www.sivola.it/# directory-list-2.3-small.txt,,1,200,174955,95478,2490,
faq,https://www.sivola.it/faq,,36,200,123926,65898,1811,
"# license, visit http://creativecommons.org/licenses/by-sa/3.0/","https://www.sivola.it/# license, visit http://creativecommons.org/licenses/by-sa/3.0/",,7,200,174955,95478,2490,
#,https://www.sivola.it/#,,13,200,174955,95478,2490,
# Copyright 2007 James Fisher,https://www.sivola.it/# Copyright 2007 James Fisher,,3,200,174955,95478,2490,
# Attribution-Share Alike 3.0 License. To view a copy of this,https://www.sivola.it/# Attribution-Share Alike 3.0 License. To view a copy of this,,6,200,174955,95478,2490,
# on at least 3 different hosts,https://www.sivola.it/# on at least 3 different hosts,,12,200,174955,95478,2490,
about,https://www.sivola.it/about,,26,200,51719,15971,1049,
#,https://www.sivola.it/#,,4,200,174955,95478,2490,
# This work is licensed under the Creative Commons,https://www.sivola.it/# This work is licensed under the Creative Commons,,5,200,174955,95478,2490,
#,https://www.sivola.it/#,,10,200,174955,95478,2490,
,https://www.sivola.it/,,14,200,174955,95478,2490,
mailman,https://www.sivola.it/mailman,https://www.sivola.it/mailman/,320,301,238,14,8,
pipermail,https://www.sivola.it/pipermail,https://www.sivola.it/pipermail/,631,301,240,14,8,
webmail,https://www.sivola.it/webmail,,1549,200,33863,1364,330,
cgi-sys,https://www.sivola.it/cgi-sys,https://www.sivola.it/cgi-sys/,7063,301,238,14,8,
controlpanel,https://www.sivola.it/controlpanel,,8533,200,33858,1364,330,
cpanel,https://www.sivola.it/cpanel,,11377,200,33858,1364,330,
viaggi,https://www.sivola.it/viaggi,,21206,200,4892521,2708835,61688,
last-minute,https://www.sivola.it/last-minute,,28031,200,784164,423285,9705,
,https://www.sivola.it/,,45647,200,174955,95478,2490,
